Claim_ID,SKU,Failed_Component,Claim_Date,Days_In_Service,Repair_Cost,Resolution,Failure_Symptom
WC-00040,TAB-VOR-0008,Touch Display,2024-06-13,943,146.84,Replaced,Malfunctioning
WC-00041,LAP-ORB-0005,Cooling Fan,2025-06-29,654,56.47,Replaced,Malfunctioning
WC-00042,WCH-ZEN-0012,Display,2025-04-25,839,43.2,Pending,Unresponsive
WC-00043,LAP-NIM-0002,Display Panel,2025-10-30,489,243.32,Repaired,Not charging
WC-00044,LAP-ORB-0024,Motherboard,2024-06-13,548,253.1,Pending,Overheating
WC-00045,LAP-SOL-0007,Keyboard Assembly,2024-05-20,935,91.17,Refunded,Cracked/damaged
WC-00046,TAB-EMB-0001,Charging Port,2024-04-11,582,48.35,Refunded,Overheating
WC-00047,EAR-NIM-0017,Battery,2024-12-17,922,25.09,Replaced,Overheating
WC-00048,TAB-NIM-0007,Touch Display,2025-05-25,611,79.43,Repaired,Cracked/damaged
WC-00049,LAP-ZEN-0034,Battery,2026-02-27,44,82.71,Refunded,Battery drains fast
WC-00050,LAP-ZEN-0030,Keyboard Assembly,2025-10-06,393,96.36,Refunded,Battery drains fast
WC-00051,PHN-VOR-0032,Charging Port,2025-10-11,217,57.09,Repaired,Cracked/damaged
WC-00052,LAP-ORB-0005,RAM Module,2024-07-11,634,138.48,Repaired,Random shutdowns
WC-00053,TAB-VOR-0015,Charging Port,2025-03-06,25,16.82,Replaced,Unresponsive
WC-00054,PHN-VOR-0003,Charging Port,2025-11-16,128,55.72,Repaired,Won't power on
WC-00055,EAR-NIM-0017,Charging Case,2024-09-29,65,32.44,Refunded,Cracked/damaged
WC-00056,EAR-ORB-0016,Charging Case,2025-08-05,724,34.93,Repaired,Won't power on
WC-00057,LAP-EMB-0021,Motherboard,2025-08-09,222,386.36,Repaired,Random shutdowns
WC-00058,LAP-VOR-0018,Motherboard,2024-08-03,969,143.15,Refunded,Malfunctioning
WC-00059,TAB-EMB-0011,Logic Board,2025-02-18,729,209.09,Pending,Random shutdowns
WC-00060,PHN-VOR-0029,Charging Port,2026-04-29,779,40.23,Pending,Cracked/damaged
WC-00061,TAB-SOL-0016,Touch Display,2026-06-10,692,115.73,Replaced,Malfunctioning
WC-00062,LAP-EMB-0021,Motherboard,2025-09-30,559,298.12,Refunded,Overheating
WC-00063,LAP-ORB-0005,Cooling Fan,2025-01-02,956,51.73,Repaired,Overheating
WC-00064,TAB-NIM-0007,Battery,2024-06-10,170,48.73,Replaced,Overheating
WC-00065,PHN-ZEN-0002,Camera Module,2024-11-12,529,85.31,Pending,Malfunctioning
WC-00066,PHN-NIM-0026,Charging Port,2025-04-19,571,51.43,Repaired,Malfunctioning
WC-00067,PHN-EMB-0022,Battery,2024-05-23,257,88.33,Refunded,Unresponsive
WC-00068,LAP-ORB-0005,Cooling Fan,2026-03-03,109,60.43,Pending,Cracked/damaged
WC-00069,LAP-ZEN-0030,Webcam Module,2025-05-02,798,49.69,Replaced,Battery drains fast
WC-00070,LAP-EMB-0008,Webcam Module,2025-05-30,259,35.95,Repaired,Unresponsive
WC-00071,EAR-ZEN-0005,Charging Case,2024-03-12,281,37.19,Replaced,Cracked/damaged
WC-00072,PHN-VOR-0007,OLED Display,2025-10-26,95,260.22,Pending,Unresponsive
WC-00073,LAP-VOR-0009,Motherboard,2025-12-03,173,116.9,Replaced,Malfunctioning
WC-00074,EAR-ORB-0016,Battery,2024-06-18,616,22.88,Repaired,Won't power on
WC-00075,PHN-EMB-0013,Battery,2024-10-18,534,41.75,Repaired,Malfunctioning
WC-00076,PHN-NIM-0008,Battery,2024-06-21,249,47.71,Pending,Random shutdowns
WC-00077,PHN-ZEN-0018,Logic Board,2024-09-02,939,247.39,Pending,Random shutdowns
WC-00078,LAP-SOL-0011,Webcam Module,2024-07-22,432,39.78,Refunded,Cracked/damaged
WC-00079,LAP-NIM-0032,Display Panel,2024-09-11,287,245.58,Replaced,Malfunctioning
WC-00080,TAB-ZEN-0004,Touch Display,2025-03-02,719,198.73,Replaced,Random shutdowns
WC-00081,LAP-ORB-0036,Motherboard,2024-02-28,571,139.58,Replaced,Malfunctioning
WC-00082,PHN-ZEN-0002,Camera Module,2025-05-29,711,84.03,Pending,Battery drains fast
WC-00083,LAP-ZEN-0031,Battery,2024-10-25,79,151.85,Pending,Overheating
WC-00084,PHN-NIM-0024,Logic Board,2024-05-24,83,278.57,Replaced,Overheating
WC-00085,PHN-SOL-0010,OLED Display,2025-08-15,751,107.53,Replaced,Random shutdowns
WC-00086,TAB-SOL-0016,Touch Display,2026-04-01,344,149.85,Refunded,Cracked/damaged
WC-00087,LAP-VOR-0009,Cooling Fan,2024-06-23,727,33.64,Refunded,Overheating
WC-00088,LAP-EMB-0008,Battery,2025-03-24,463,46.92,Pending,Unresponsive
WC-00089,TAB-EMB-0006,Touch Display,2025-10-14,944,104.46,Replaced,Random shutdowns
WC-00090,LAP-ZEN-0013,Keyboard Assembly,2026-04-07,404,51.77,Repaired,Won't power on
WC-00091,WCH-ZEN-0018,Battery,2026-06-14,377,34.88,Refunded,Battery drains fast
WC-00092,TAB-ORB-0024,Touch Display,2025-10-21,818,122.43,Repaired,Not charging
WC-00093,PHN-EMB-0033,Camera Module,2025-06-15,224,101.65,Refunded,Cracked/damaged
WC-00094,PHN-VOR-0003,Charging Port,2025-06-06,587,33.43,Refunded,Overheating
WC-00095,PHN-ZEN-0012,OLED Display,2025-05-30,37,101.88,Repaired,Won't power on
WC-00096,LAP-ZEN-0031,SSD Storage,2025-06-28,315,133.28,Pending,Cracked/damaged
WC-00097,PHN-ZEN-0002,Charging Port,2025-06-13,502,48.18,Pending,Not charging
WC-00098,PHN-SOL-0027,Logic Board,2024-10-27,426,548.05,Refunded,Battery drains fast
WC-00099,LAP-VOR-0010,Motherboard,2024-11-24,763,460.2,Refunded,Not charging
WC-00100,LAP-ORB-0036,Motherboard,2025-04-10,383,129.34,Repaired,Unresponsive
WC-00101,LAP-NIM-0002,Battery,2026-03-14,457,72.51,Refunded,Won't power on
WC-00102,LAP-ORB-0028,SSD Storage,2024-10-06,576,103.74,Replaced,Malfunctioning
WC-00103,TAB-EMB-0011,Logic Board,2025-09-14,552,409.69,Refunded,Unresponsive
WC-00104,LAP-ORB-0005,Keyboard Assembly,2024-12-14,360,85.48,Repaired,Battery drains fast
WC-00105,LAP-ORB-0001,Motherboard,2024-04-14,393,285.18,Replaced,Overheating
WC-00106,PHN-SOL-0030,Battery,2024-12-13,884,73.44,Refunded,Malfunctioning
WC-00107,PHN-VOR-0020,Logic Board,2024-06-08,336,244.05,Repaired,Cracked/damaged
WC-00108,PHN-EMB-0009,Battery,2024-10-14,77,98.01,Refunded,Won't power on
WC-00109,LAP-VOR-0016,Battery,2026-05-22,192,128.86,Repaired,Overheating
WC-00110,LAP-EMB-0033,Battery,2026-03-02,818,75.78,Refunded,Battery drains fast
WC-00111,TAB-NIM-0007,Logic Board,2025-06-06,422,299.48,Replaced,Malfunctioning
WC-00112,LAP-EMB-0020,Cooling Fan,2025-02-03,205,29.19,Refunded,Random shutdowns
WC-00113,LAP-ORB-0005,SSD Storage,2026-02-18,343,143.65,Repaired,Unresponsive
WC-00114,LAP-NIM-0006,Cooling Fan,2024-01-21,608,45.4,Refunded,Random shutdowns
WC-00115,TAB-NIM-0020,Touch Display,2024-07-23,740,186.96,Repaired,Battery drains fast
WC-00116,PHN-NIM-0026,Battery,2025-08-23,805,73.1,Replaced,Cracked/damaged
WC-00117,LAP-SOL-0007,Cooling Fan,2025-06-12,674,41.08,Pending,Random shutdowns
WC-00118,TAB-ORB-0003,Logic Board,2024-08-31,232,335.38,Refunded,Won't power on
WC-00119,TAB-ORB-0003,Battery,2024-08-21,133,53.47,Pending,Unresponsive
WC-00120,WCH-EMB-0010,Strap/Band,2024-12-07,616,49.61,Refunded,Not charging
WC-00121,WCH-SOL-0004,Logic Board,2025-04-25,809,96.58,Replaced,Won't power on
WC-00122,LAP-VOR-0009,Motherboard,2025-11-10,404,150.35,Repaired,Battery drains fast
WC-00123,PHN-SOL-0010,Logic Board,2025-07-15,994,375.31,Replaced,Not charging
WC-00124,EAR-VOR-0009,Speaker Driver,2026-02-15,785,56.82,Replaced,Not charging
WC-00125,PHN-NIM-0026,OLED Display,2025-04-17,907,196.02,Replaced,Random shutdowns
WC-00126,TAB-NIM-0022,Battery,2024-07-07,392,50.09,Pending,Not charging
WC-00127,WCH-ZEN-0007,Battery,2025-12-19,371,61.96,Repaired,Random shutdowns
WC-00128,TAB-EMB-0006,Battery,2025-06-06,555,79.73,Repaired,Unresponsive
WC-00129,LAP-EMB-0003,Motherboard,2026-06-17,411,183.18,Refunded,Not charging
WC-00130,LAP-NIM-0025,Motherboard,2026-02-18,101,395.27,Replaced,Cracked/damaged
WC-00131,EAR-ZEN-0005,Battery,2025-11-03,559,29.81,Replaced,Cracked/damaged
WC-00132,LAP-ORB-0024,RAM Module,2024-06-14,442,67.2,Repaired,Malfunctioning
WC-00133,PHN-ZEN-0002,Battery,2024-01-04,180,71.48,Pending,Cracked/damaged
WC-00134,TAB-NIM-0022,Touch Display,2025-02-19,279,103.04,Pending,Overheating
WC-00135,PHN-EMB-0013,Battery,2026-05-01,953,74.64,Replaced,Malfunctioning
WC-00136,EAR-ORB-0016,Charging Case,2024-08-12,923,57.85,Replaced,Battery drains fast
WC-00137,LAP-ZEN-0030,RAM Module,2025-07-12,498,163.98,Replaced,Overheating
WC-00138,PHN-ZEN-0018,Battery,2025-12-11,205,79.27,Repaired,Overheating
WC-00139,LAP-NIM-0002,Battery,2025-11-05,536,67.24,Repaired,Battery drains fast
WC-00140,LAP-EMB-0033,Motherboard,2026-01-20,646,142.23,Refunded,Unresponsive
WC-00141,TAB-SOL-0016,Logic Board,2025-07-13,646,194.5,Repaired,Battery drains fast
WC-00142,PHN-ORB-0031,Logic Board,2026-01-30,865,296.31,Refunded,Battery drains fast
WC-00143,LAP-EMB-0008,Webcam Module,2025-04-04,578,42.7,Replaced,Random shutdowns
WC-00144,PHN-EMB-0009,Battery,2025-09-18,654,67.95,Repaired,Not charging
WC-00145,PHN-SOL-0030,Battery,2026-04-05,881,61.81,Replaced,Won't power on
WC-00146,LAP-ZEN-0013,Cooling Fan,2025-09-25,926,20.51,Pending,Unresponsive
WC-00147,PHN-NIM-0008,Logic Board,2026-06-02,201,160.99,Refunded,Won't power on
WC-00148,PHN-ORB-0014,Logic Board,2024-05-14,359,442.71,Replaced,Random shutdowns
WC-00149,WCH-VOR-0008,Sensor Module,2024-02-21,178,46.32,Refunded,Random shutdowns
WC-00150,LAP-ORB-0001,RAM Module,2026-06-09,224,187.81,Refunded,Won't power on
WC-00151,EAR-VOR-0007,Speaker Driver,2026-04-10,75,37.23,Replaced,Battery drains fast
WC-00152,TAB-VOR-0015,Touch Display,2025-09-19,630,120.23,Pending,Malfunctioning
WC-00153,EAR-SOL-0006,Bluetooth Chip,2026-03-15,840,28.97,Repaired,Not charging
WC-00154,TAB-ZEN-0005,Touch Display,2024-10-04,777,129.39,Repaired,Not charging
WC-00155,PHN-NIM-0026,Charging Port,2025-02-09,61,29.41,Refunded,Battery drains fast
WC-00156,EAR-ORB-0015,Battery,2025-06-06,371,14.91,Refunded,Malfunctioning
WC-00157,LAP-ZEN-0030,Keyboard Assembly,2024-08-02,178,80.62,Pending,Overheating
WC-00158,TAB-ZEN-0010,Battery,2025-06-21,797,70.33,Pending,Unresponsive
WC-00159,PHN-NIM-0026,Battery,2026-03-16,984,70.31,Refunded,Random shutdowns
WC-00160,TAB-ORB-0012,Logic Board,2024-09-27,297,156.54,Refunded,Malfunctioning
WC-00161,LAP-ZEN-0026,Cooling Fan,2025-08-30,607,56.2,Replaced,Not charging
WC-00162,EAR-SOL-0003,Battery,2024-09-17,827,44.58,Repaired,Overheating
WC-00163,PHN-ORB-0031,Logic Board,2024-10-26,703,454.89,Pending,Battery drains fast
WC-00164,WCH-VOR-0017,Logic Board,2025-03-23,869,111.04,Repaired,Random shutdowns
WC-00165,WCH-SOL-0004,Logic Board,2024-06-08,436,83.25,Refunded,Unresponsive
WC-00166,EAR-SOL-0006,Battery,2025-10-21,902,30.06,Replaced,Overheating
WC-00167,PHN-VOR-0020,Battery,2026-01-09,606,61.24,Repaired,Battery drains fast
WC-00168,PHN-NIM-0021,Battery,2025-10-23,530,68.37,Repaired,Battery drains fast
WC-00169,LAP-NIM-0002,Cooling Fan,2024-02-09,925,68.39,Pending,Unresponsive
WC-00170,LAP-VOR-0035,Battery,2026-05-20,814,107.39,Repaired,Overheating
WC-00171,TAB-NIM-0007,Charging Port,2025-10-25,370,43.47,Replaced,Overheating
WC-00172,PHN-EMB-0009,Logic Board,2025-12-08,329,189.9,Replaced,Won't power on
WC-00173,PHN-ORB-0004,Battery,2026-05-09,601,80.21,Repaired,Unresponsive
WC-00174,LAP-EMB-0008,Motherboard,2024-03-27,276,188.23,Pending,Overheating
WC-00175,EAR-ORB-0015,Charging Case,2024-09-13,15,43.44,Refunded,Unresponsive
WC-00176,TAB-EMB-0001,Touch Display,2026-03-18,914,172.4,Repaired,Won't power on
WC-00177,PHN-VOR-0003,Camera Module,2024-04-27,352,136.55,Pending,Won't power on
WC-00178,PHN-SOL-0025,Speaker Unit,2024-08-18,229,28.49,Pending,Malfunctioning
WC-00179,LAP-SOL-0007,Keyboard Assembly,2025-10-29,968,86.43,Pending,Random shutdowns
WC-00180,LAP-NIM-0002,RAM Module,2025-09-25,985,110.04,Pending,Battery drains fast
WC-00181,WCH-SOL-0009,Display,2024-10-08,197,76.25,Pending,Unresponsive
WC-00182,WCH-ZEN-0007,Logic Board,2025-11-07,65,135.84,Repaired,Random shutdowns
WC-00183,PHN-VOR-0019,Logic Board,2024-03-22,716,156.91,Replaced,Won't power on
WC-00184,EAR-NIM-0011,Charging Case,2024-09-22,657,26.63,Repaired,Battery drains fast
WC-00185,PHN-ORB-0004,Battery,2026-04-17,149,91.9,Repaired,Overheating
WC-00186,LAP-ZEN-0030,Cooling Fan,2025-10-20,417,42.36,Replaced,Malfunctioning
WC-00187,LAP-ORB-0024,Motherboard,2025-03-28,752,199.09,Refunded,Random shutdowns
WC-00188,WCH-NIM-0001,Battery,2024-05-11,64,41.5,Refunded,Not charging
WC-00189,TAB-ZEN-0005,Battery,2026-03-25,573,60.91,Replaced,Random shutdowns
WC-00190,PHN-ZEN-0018,Charging Port,2024-11-02,40,58.53,Repaired,Malfunctioning
WC-00191,WCH-NIM-0005,Logic Board,2025-10-13,528,81.94,Replaced,Battery drains fast
WC-00192,LAP-VOR-0009,SSD Storage,2024-11-03,513,93.01,Pending,Unresponsive
WC-00193,TAB-ZEN-0005,Touch Display,2025-01-24,219,95.66,Pending,Malfunctioning
WC-00194,EAR-ZEN-0004,Bluetooth Chip,2025-06-15,788,44.62,Replaced,Battery drains fast
WC-00195,LAP-ORB-0005,Battery,2024-09-25,909,94.83,Pending,Not charging
WC-00196,WCH-VOR-0008,Battery,2025-01-05,171,25.58,Repaired,Not charging
WC-00197,LAP-ZEN-0030,Battery,2026-05-08,258,93.8,Replaced,Won't power on
WC-00198,PHN-SOL-0006,Logic Board,2025-09-20,470,316.15,Pending,Random shutdowns
WC-00199,LAP-EMB-0020,Cooling Fan,2024-04-14,961,47.82,Replaced,Malfunctioning
WC-00200,LAP-ZEN-0026,Battery,2025-01-07,144,65.36,Replaced,Overheating
WC-00201,PHN-NIM-0008,Logic Board,2025-05-30,242,213.08,Repaired,Random shutdowns
WC-00202,PHN-SOL-0030,Logic Board,2024-05-20,311,491.99,Refunded,Unresponsive
WC-00203,LAP-ZEN-0034,Cooling Fan,2024-11-16,874,51.42,Replaced,Malfunctioning
WC-00204,LAP-SOL-0015,Motherboard,2024-11-08,626,221.93,Pending,Random shutdowns
WC-00205,PHN-EMB-0015,Logic Board,2025-08-08,725,345.63,Refunded,Battery drains fast
WC-00206,EAR-ORB-0016,Battery,2024-10-23,206,25.7,Pending,Cracked/damaged
WC-00207,PHN-VOR-0019,Charging Port,2024-11-02,578,42.5,Replaced,Random shutdowns
WC-00208,LAP-SOL-0015,Cooling Fan,2026-03-31,543,29.33,Replaced,Cracked/damaged
WC-00209,TAB-NIM-0023,Battery,2025-06-04,867,89.94,Refunded,Unresponsive
WC-00210,TAB-NIM-0020,Charging Port,2025-02-26,950,39.62,Repaired,Malfunctioning
WC-00211,PHN-EMB-0013,Charging Port,2025-04-21,278,45.2,Repaired,Overheating
WC-00212,TAB-VOR-0008,Speaker Unit,2025-07-14,678,41.64,Replaced,Random shutdowns
WC-00213,PHN-EMB-0013,Battery,2024-09-20,899,75.52,Repaired,Malfunctioning
WC-00214,LAP-VOR-0016,Battery,2025-04-18,193,107.71,Replaced,Overheating
WC-00215,LAP-ORB-0036,Display Panel,2025-05-02,672,206.77,Replaced,Unresponsive
WC-00216,LAP-EMB-0027,Webcam Module,2025-02-05,415,35.8,Refunded,Malfunctioning
WC-00217,LAP-EMB-0033,SSD Storage,2025-11-05,598,175.88,Pending,Overheating
WC-00218,EAR-EMB-0014,Charging Case,2025-06-08,811,39.2,Replaced,Random shutdowns
WC-00219,LAP-SOL-0029,Battery,2024-09-03,714,83.62,Repaired,Cracked/damaged
WC-00220,PHN-ZEN-0002,Logic Board,2026-06-19,815,395.01,Pending,Cracked/damaged
WC-00221,EAR-VOR-0007,Battery,2024-11-15,630,43.03,Repaired,Overheating
WC-00222,WCH-VOR-0017,Battery,2024-06-23,105,45.77,Repaired,Battery drains fast
WC-00223,LAP-ZEN-0034,Battery,2024-12-10,900,62.09,Repaired,Cracked/damaged
WC-00224,LAP-EMB-0008,Motherboard,2026-05-19,310,202.11,Pending,Won't power on
WC-00225,PHN-EMB-0015,OLED Display,2025-03-21,240,82.49,Pending,Won't power on
WC-00226,LAP-EMB-0021,Webcam Module,2024-04-06,998,41.9,Repaired,Won't power on
WC-00227,LAP-ZEN-0013,Keyboard Assembly,2025-08-30,116,72.54,Replaced,Unresponsive
WC-00228,PHN-VOR-0020,Battery,2025-04-04,308,40.25,Replaced,Random shutdowns
WC-00229,LAP-EMB-0003,RAM Module,2026-02-21,883,129.73,Pending,Overheating
WC-00230,LAP-VOR-0016,Battery,2026-04-12,423,85.66,Refunded,Cracked/damaged
WC-00231,LAP-SOL-0019,Motherboard,2025-02-12,179,142.59,Refunded,Malfunctioning
WC-00232,LAP-NIM-0002,Cooling Fan,2024-07-17,846,59.08,Replaced,Cracked/damaged
WC-00233,LAP-ORB-0005,RAM Module,2025-06-03,119,118.64,Refunded,Not charging
WC-00234,LAP-VOR-0035,SSD Storage,2025-03-16,811,160.07,Pending,Cracked/damaged
WC-00235,TAB-NIM-0020,Charging Port,2024-04-22,720,52.19,Repaired,Overheating
WC-00236,LAP-ZEN-0034,Cooling Fan,2024-08-02,153,43.96,Repaired,Cracked/damaged
WC-00237,TAB-VOR-0018,Logic Board,2026-01-15,471,139.45,Repaired,Won't power on
WC-00238,TAB-NIM-0022,Logic Board,2024-06-27,471,219.22,Replaced,Battery drains fast
WC-00239,PHN-VOR-0032,OLED Display,2026-01-31,436,121.53,Repaired,Overheating
WC-00240,PHN-VOR-0032,Battery,2026-03-09,66,51.63,Refunded,Battery drains fast
WC-00241,TAB-EMB-0001,Speaker Unit,2025-03-01,419,45.71,Replaced,Cracked/damaged
WC-00242,WCH-NIM-0011,Display,2024-02-08,636,130.55,Repaired,Cracked/damaged
WC-00243,LAP-EMB-0008,Webcam Module,2024-01-13,42,15.69,Pending,Battery drains fast
WC-00244,WCH-ZEN-0012,Battery,2025-12-15,519,78.44,Pending,Cracked/damaged
WC-00245,LAP-VOR-0009,Motherboard,2024-01-13,996,132.53,Replaced,Battery drains fast
WC-00246,WCH-EMB-0006,Display,2025-07-09,554,51.36,Pending,Random shutdowns
WC-00247,PHN-EMB-0033,Battery,2025-05-24,764,44.77,Replaced,Random shutdowns
WC-00248,PHN-ZEN-0023,OLED Display,2026-01-19,628,168.37,Refunded,Won't power on
WC-00249,LAP-EMB-0008,Motherboard,2025-09-12,914,232.05,Replaced,Battery drains fast
WC-00250,EAR-VOR-0007,Charging Case,2024-09-10,374,32.47,Refunded,Won't power on
WC-00251,LAP-VOR-0016,Battery,2024-12-05,329,121.9,Pending,Won't power on
WC-00252,PHN-SOL-0035,Battery,2025-03-16,486,83.93,Repaired,Battery drains fast
WC-00253,LAP-VOR-0009,Webcam Module,2024-11-07,664,37.94,Refunded,Won't power on
WC-00254,LAP-SOL-0011,Display Panel,2024-05-31,343,312.5,Repaired,Won't power on
WC-00255,LAP-ORB-0022,Motherboard,2025-10-25,183,483.73,Pending,Unresponsive
WC-00256,TAB-ZEN-0005,Logic Board,2026-02-02,736,192.45,Refunded,Overheating
WC-00257,WCH-VOR-0008,Battery,2026-04-04,812,25.1,Pending,Malfunctioning
WC-00258,WCH-VOR-0017,Logic Board,2024-12-20,172,94.16,Refunded,Cracked/damaged
WC-00259,EAR-SOL-0006,Battery,2024-01-20,555,34.95,Replaced,Overheating
WC-00260,TAB-ZEN-0009,Battery,2026-05-08,875,59.86,Replaced,Cracked/damaged
WC-00261,PHN-NIM-0016,Logic Board,2024-12-03,87,140.34,Refunded,Won't power on
WC-00262,PHN-NIM-0021,Logic Board,2025-08-17,914,302.05,Repaired,Battery drains fast
WC-00263,PHN-SOL-0006,Logic Board,2026-04-20,872,329.62,Repaired,Not charging
WC-00264,TAB-ZEN-0005,Battery,2024-08-22,939,60.59,Refunded,Random shutdowns
WC-00265,LAP-ORB-0005,Motherboard,2026-02-23,201,293.63,Refunded,Overheating
WC-00266,LAP-VOR-0010,Display Panel,2024-07-08,336,128.57,Repaired,Battery drains fast
WC-00267,EAR-ZEN-0004,Bluetooth Chip,2024-10-09,840,33.7,Repaired,Cracked/damaged
WC-00268,PHN-ZEN-0012,Logic Board,2024-06-04,263,508.79,Replaced,Unresponsive
WC-00269,PHN-ORB-0011,Logic Board,2026-03-08,328,499.48,Replaced,Not charging
WC-00270,TAB-ORB-0003,Battery,2026-03-01,709,69.74,Repaired,Battery drains fast
WC-00271,EAR-VOR-0008,Battery,2024-04-19,110,45.64,Repaired,Unresponsive
WC-00272,EAR-ORB-0016,Battery,2024-03-16,970,29.78,Pending,Random shutdowns
WC-00273,EAR-VOR-0009,Battery,2024-05-08,267,15.95,Pending,Battery drains fast
WC-00274,LAP-EMB-0020,Cooling Fan,2024-04-29,46,35.17,Pending,Cracked/damaged
WC-00275,LAP-ORB-0022,RAM Module,2026-03-14,479,136.28,Repaired,Malfunctioning
WC-00276,TAB-EMB-0006,Touch Display,2024-03-09,314,106.16,Replaced,Unresponsive
WC-00277,PHN-NIM-0026,Battery,2025-03-23,348,63.95,Pending,Not charging
WC-00278,LAP-VOR-0018,Cooling Fan,2025-01-23,652,61.75,Pending,Random shutdowns
WC-00279,EAR-VOR-0008,Charging Case,2025-08-03,469,51.59,Refunded,Malfunctioning
WC-00280,EAR-VOR-0009,Charging Case,2024-04-15,252,42.25,Repaired,Malfunctioning
WC-00281,PHN-NIM-0016,Battery,2024-07-14,21,48.45,Refunded,Malfunctioning
WC-00282,LAP-SOL-0011,SSD Storage,2025-10-18,141,107.41,Replaced,Malfunctioning
WC-00283,PHN-ORB-0011,Logic Board,2025-11-06,174,363.82,Refunded,Cracked/damaged
WC-00284,TAB-NIM-0007,Battery,2025-04-01,865,65.63,Pending,Overheating
WC-00285,LAP-SOL-0019,Webcam Module,2024-06-26,958,39.62,Replaced,Malfunctioning
WC-00286,TAB-ORB-0012,Logic Board,2025-12-27,832,137.58,Pending,Cracked/damaged
WC-00287,WCH-VOR-0008,Logic Board,2026-06-16,863,177.21,Replaced,Battery drains fast
WC-00288,LAP-NIM-0002,Display Panel,2025-02-24,760,202.62,Replaced,Random shutdowns
WC-00289,LAP-ZEN-0013,Motherboard,2025-10-14,241,199.52,Refunded,Battery drains fast
WC-00290,LAP-ZEN-0030,Battery,2025-10-10,458,118.78,Replaced,Not charging
